lastname,firstname,Ccode,Word Count,year,month,distrust,task,bace,igb,sc,cc,power,name
Baldwin,Stanley,200,4036,1937,5,0.203703704,0.464285714,0.298245614,0.085106383,0.410404624,0.590062112,0.193939394,Stanley Baldwin
Bhutto,Zulfikar,770,5229,1970,1,0.065217391,0.478527607,0.505494505,0.178571429,0.153846154,0.671755725,0.296703297,Zulfikar Bhutto
Bhutto,Zulfikar,770,4647,1971,12,0.182539683,0.49068323,0.47133758,0.133333333,0.333333333,0.718367347,0.220779221,Zulfikar Bhutto
Bhutto,Zulfikar,770,4508,1971,2,0.068965517,0.5,0.436170213,0.078947368,0.226415094,0.582608696,0.170454545,Zulfikar Bhutto
Bhutto,Zulfikar,770,6874,1973,1,0.088235294,0.574358974,0.387559809,0.147887324,0.466019417,0.666026871,0.231527094,Zulfikar Bhutto
Bierut,Boleslaw,290,21426,1950,7,0.348101266,0.888788427,0.362831858,0.119148936,0.333333333,0.550790068,0.308333333,Boleslaw Bierut
Blair,Tony,200,6451,1997,10,0.076335878,0.708955224,0.366197183,0.08,0.431372549,0.503816794,0.29047619,Tony Blair
Blair,Tony,200,14034,1997,11,0.093939394,0.645640074,0.425661914,0.082352941,0.366141732,0.551762115,0.250521921,Tony Blair
Blair,Tony,200,14567,1997,12,0.07,0.667250438,0.457081545,0.116991643,0.349775785,0.521611002,0.304250559,Tony Blair
Blair,Tony,200,8985,1997,5,0.147928994,0.574923547,0.427672956,0.121212121,0.337016575,0.510597303,0.254071661,Tony Blair
Blair,Tony,200,26944,1997,6,0.128158845,0.686310063,0.446339017,0.139240506,0.366412214,0.529909707,0.292227979,Tony Blair
Blair,Tony,200,16613,1997,7,0.074380165,0.647342995,0.441786284,0.12037037,0.325966851,0.5,0.259016393,Tony Blair
Blair,Tony,200,5903,1997,9,0.181102362,0.52,0.441666667,0.09569378,0.369047619,0.575757576,0.333333333,Tony Blair
Blair,Tony,200,23542,1998,1,0.301298701,0.583150985,0.374301676,0.105032823,0.352380952,0.501303781,0.276504298,Tony Blair
Blair,Tony,200,5120,1998,10,0.101449275,0.671875,0.424731183,0.102941176,0.364583333,0.529585799,0.213114754,Tony Blair
Blair,Tony,200,19887,1998,11,0.110894942,0.642135642,0.408099688,0.08997955,0.335526316,0.484552846,0.276357827,Tony Blair
Blair,Tony,200,18600,1998,12,0.088652482,0.706684857,0.392961877,0.117647059,0.392156863,0.493944637,0.289026275,Tony Blair
Blair,Tony,200,15713,1998,2,0.100490196,0.610544218,0.389587074,0.113065327,0.348432056,0.493545184,0.23388582,Tony Blair
Blair,Tony,200,10169,1998,3,0.086956522,0.589242054,0.376262626,0.115523466,0.351219512,0.565830721,0.299465241,Tony Blair
Blair,Tony,200,7566,1998,4,0.166666667,0.638513514,0.445182724,0.081339713,0.360544218,0.520295203,0.241992883,Tony Blair
Blair,Tony,200,19275,1998,5,0.053527981,0.645833333,0.444104135,0.092511013,0.356932153,0.555895865,0.24137931,Tony Blair
Blair,Tony,200,15933,1998,6,0.108433735,0.693083573,0.406666667,0.116772824,0.366906475,0.513170732,0.308219178,Tony Blair
Blair,Tony,200,12269,1998,7,0.113513514,0.566315789,0.375555556,0.092485549,0.347222222,0.502469136,0.26635514,Tony Blair
Blair,Tony,200,5480,1998,9,0.395833333,0.630252101,0.409090909,0.125,0.43877551,0.483965015,0.284883721,Tony Blair
Blair,Tony,200,7185,1999,1,0.127272727,0.602787456,0.459375,0.111111111,0.39375,0.493181818,0.313915858,Tony Blair
