lastname,firstname,Ccode,Word Count,year,i1,i2,i3,i4a,i4b,i5ap,i5pr,i5re,i5op,i5th,i5pu,p1,p2,p3,p4,p5,name
Carter,Jimmy,2,45542,1981,0.560371517,0.293085655,0.182317476,0.439628483,0.749226006,0.476780186,0.046439628,0.256965944,0.095975232,0.00619195,0.117647059,0.482303956,0.305806153,0.123182346,0.183106576,0.977444502,Jimmy Carter
Castro,Fidel,40,39470,1959,0.220994475,0.016574586,0.108964928,0.779005525,0.679558011,0.417127072,0.069060773,0.124309392,0.116022099,0.05801105,0.215469613,0.057280883,-0.055440534,0.079851457,0.199889564,0.984038527,Fidel Castro
Castro,Fidel,40,14950,1960,0.517241379,0.38697318,0.090923504,0.482758621,0.827586207,0.287356322,0.126436782,0.344827586,0.137931034,0.034482759,0.068965517,0.34351145,0.177268872,0.070994309,0.18125,0.987132282,Fidel Castro
Castro,Fidel,40,115092,1961,0.127701375,-0.00589391,0.081328233,0.872298625,0.565815324,0.388998035,0.058939096,0.115913556,0.166994106,0.1021611,0.166994106,0.053431373,-0.044526144,0.0782203,0.110917411,0.991324007,Fidel Castro
Castro,Fidel,40,78741,1962,0.351648352,0.151098901,0.154449946,0.648351648,0.521978022,0.475274725,0.043956044,0.156593407,0.173076923,0.046703297,0.104395604,0.136291601,0.010829371,0.083502151,0.126038781,0.989475491,Fidel Castro
Castro,Fidel,40,26156,1963,0.271317829,0.03875969,0.182260681,0.728682171,0.480620155,0.511627907,0.031007752,0.093023256,0.139534884,0.07751938,0.147286822,0.116778523,0.008948546,0.083621819,0.147597254,0.987657649,Fidel Castro
Castro,Fidel,40,10017,1964,0.438596491,0.239766082,0.144598338,0.561403509,0.526315789,0.456140351,0.070175439,0.192982456,0.175438596,0.035087719,0.070175439,0.390625,0.205729167,0.119885254,0.182108626,0.978167861,Fidel Castro
Castro,Fidel,40,188296,1965,0.383350462,0.159643714,0.129894194,0.616649538,0.532374101,0.459403905,0.079136691,0.153134635,0.131551901,0.063720452,0.113052415,0.173896923,0.038746756,0.084120081,0.152819224,0.987144835,Fidel Castro
Castro,Fidel,40,206270,1966,0.364136414,0.170517052,0.10851732,0.635863586,0.616061606,0.423542354,0.071507151,0.187018702,0.140814081,0.056105611,0.121012101,0.149031812,0.042127709,0.075867323,0.135813537,0.989696191,Fidel Castro
Castro,Fidel,40,168058,1967,0.321156773,0.122780315,0.10416658,0.678843227,0.627092846,0.421613394,0.074581431,0.164383562,0.132420091,0.057838661,0.149162861,0.202994652,0.077005348,0.082182239,0.123218305,0.989873644,Fidel Castro
Castro,Fidel,40,190571,1968,0.408264463,0.172451791,0.121076429,0.591735537,0.644628099,0.441322314,0.082644628,0.180165289,0.104132231,0.049586777,0.14214876,0.23857424,0.100736205,0.086766969,0.116840479,0.989862106,Fidel Castro
Castro,Fidel,40,111718,1969,0.291457286,0.100502513,0.130597712,0.708542714,0.507537688,0.454773869,0.06281407,0.128140704,0.170854271,0.057788945,0.125628141,0.216712222,0.078484967,0.075118335,0.1345049,0.989896216,Fidel Castro
Castro,Fidel,40,277725,1971,0.322033898,0.143395211,0.130807278,0.677966102,0.615012107,0.438256659,0.046811945,0.175948345,0.179983858,0.027441485,0.131557708,0.176951578,0.048124015,0.091465122,0.136664461,0.987499968,Fidel Castro
